               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.025337,            0.011116,          0.00055634,             0.82314,             0.82971,             0.87374,               0.526,            0.030159,            0.012834,           0.0038084,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024956,            0.010955,          0.00052561,             0.86161,             0.80046,             0.86459,             0.49398,            0.030669,            0.013234,           0.0038255,           0.0076438,           0.0076438,           0.0076438
                 121,            0.024483,            0.010672,          0.00048555,             0.81311,             0.81923,             0.86528,             0.51089,             0.03128,            0.013162,           0.0038231,            0.007624,            0.007624,            0.007624
                 122,             0.02485,            0.010817,          0.00044632,             0.80388,             0.78488,             0.86007,             0.51275,            0.030586,            0.012956,           0.0041757,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024925,             0.01084,          0.00051646,               0.848,             0.80593,             0.88044,             0.53704,            0.030074,            0.012744,            0.005232,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025071,            0.010753,          0.00046051,             0.81545,             0.69734,             0.78006,             0.42266,            0.033609,            0.014913,           0.0052863,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025504,            0.010807,          0.00066368,             0.86524,             0.80778,             0.87549,             0.51489,            0.030624,            0.013045,           0.0041256,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024814,            0.010826,          0.00051023,             0.77931,             0.82541,             0.85445,             0.51785,            0.031215,            0.013019,           0.0047316,            0.007525,            0.007525,            0.007525
                 127,            0.024699,             0.01091,          0.00060496,             0.81305,             0.83093,             0.87233,             0.51537,             0.03127,            0.013009,           0.0046409,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025068,            0.010913,          0.00046662,             0.85418,             0.80784,             0.86772,             0.51486,            0.031932,            0.013783,           0.0050725,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024125,            0.010674,          0.00044325,             0.85364,              0.8126,             0.87333,              0.5214,            0.031504,            0.012981,           0.0046008,           0.0074656,           0.0074656,           0.0074656
                 130,             0.02468,            0.010775,          0.00048466,             0.86241,             0.78452,             0.87219,             0.52853,            0.030418,            0.012725,           0.0048522,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02479,            0.010762,          0.00049991,              0.8781,             0.82094,              0.8715,             0.52296,            0.030237,            0.012923,            0.004142,            0.007426,            0.007426,            0.007426
                 132,            0.024352,            0.010753,          0.00042996,              0.7753,             0.72076,             0.78968,             0.44203,            0.035562,            0.014968,           0.0044441,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023501,            0.010551,          0.00042236,             0.86145,             0.81777,             0.88345,             0.53341,            0.031509,             0.01235,           0.0045477,           0.0073864,           0.0073864,           0.0073864
                 134,            0.024291,             0.01062,          0.00058152,             0.84971,             0.85249,             0.88198,             0.52747,            0.031815,            0.012136,           0.0044988,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023575,            0.010371,           0.0004425,             0.86402,             0.81103,             0.87525,             0.53492,            0.030325,            0.012548,           0.0033732,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024407,            0.010468,          0.00050417,             0.88705,             0.81181,             0.87854,             0.54162,            0.030536,            0.012205,           0.0038866,            0.007327,            0.007327,            0.007327
                 137,            0.023729,             0.01048,          0.00048305,             0.83503,             0.83933,             0.87929,             0.52959,            0.029542,             0.01233,           0.0040904,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023925,            0.010777,          0.00048409,             0.84602,             0.80052,             0.87369,             0.53372,            0.030165,            0.013371,           0.0040767,           0.0072874,           0.0072874,           0.0072874
                 139,            0.023652,            0.010408,          0.00053913,             0.87437,              0.8434,             0.89332,             0.53815,            0.030264,            0.012615,           0.0040302,           0.0072676,           0.0072676,           0.0072676
                 140,            0.024352,             0.01061,          0.00060461,             0.91481,             0.80057,             0.89101,             0.54471,            0.029961,             0.01273,           0.0026924,           0.0072478,           0.0072478,           0.0072478
                 141,            0.024528,            0.010576,          0.00042871,             0.84105,              0.8166,              0.8544,             0.51363,            0.031879,            0.013242,           0.0048624,            0.007228,            0.007228,            0.007228
                 142,            0.023802,            0.010476,          0.00047096,             0.85561,             0.81407,             0.86289,             0.52153,            0.031021,              0.0131,           0.0042955,           0.0072082,           0.0072082,           0.0072082
                 143,            0.024157,             0.01049,          0.00059478,             0.86506,             0.82734,              0.8836,             0.53411,             0.03103,            0.012585,           0.0041854,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024143,            0.010537,          0.00052274,             0.86033,             0.80652,               0.864,             0.51753,            0.031528,            0.013266,             0.00552,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024017,            0.010351,          0.00041545,             0.85506,             0.82103,             0.85933,             0.52967,            0.030459,            0.013009,           0.0052459,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023638,            0.010405,           0.0005742,             0.88961,             0.82736,              0.8873,             0.54961,            0.029904,            0.012246,           0.0049918,            0.007129,            0.007129,            0.007129
                 147,            0.024141,             0.01025,          0.00078161,             0.85154,             0.80118,             0.85796,             0.51982,             0.03126,            0.012978,           0.0054896,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023654,            0.010281,          0.00054789,             0.87696,             0.79185,             0.88031,             0.50816,            0.031276,            0.013079,            0.003605,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024806,            0.010794,          0.00060639,             0.89005,             0.72439,             0.83949,             0.48688,             0.03414,            0.014161,           0.0074586,           0.0070696,           0.0070696,           0.0070696
                 150,             0.02362,            0.010441,          0.00043633,             0.86686,             0.74076,             0.83502,             0.48549,             0.03425,            0.013901,            0.006134,           0.0070498,           0.0070498,           0.0070498
                 151,            0.025154,            0.010312,          0.00090095,             0.87139,             0.79982,              0.8746,             0.53856,            0.029988,            0.012701,           0.0053783,             0.00703,             0.00703,             0.00703
                 152,            0.024133,            0.010242,          0.00065129,             0.86094,             0.79865,             0.86895,             0.53872,            0.030413,            0.012619,           0.0055012,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024097,            0.010275,          0.00061756,             0.85488,              0.7845,              0.8467,             0.51309,            0.031482,            0.014076,            0.005638,           0.0069904,           0.0069904,           0.0069904
                 154,            0.024127,            0.010399,          0.00046425,             0.90006,             0.83784,             0.90323,             0.56546,            0.029948,            0.011665,           0.0061427,           0.0069706,           0.0069706,           0.0069706
                 155,             0.02345,            0.010296,          0.00057581,             0.87471,             0.80521,             0.87357,             0.53537,            0.029644,            0.012772,           0.0046271,           0.0069508,           0.0069508,           0.0069508
